* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
20.170000, 54.010
20.420000, 54.105
20.670000, 54.200
20.920000, 54.295
21.170000, 54.392
21.420000, 54.490
21.670000, 54.590
21.920000, 54.692
22.170000, 54.796
22.420000, 54.903
22.670000, 55.013
22.920000, 55.127
23.170000, 55.244
23.420000, 55.365
23.670000, 55.492
23.920000, 55.622
24.170000, 55.758
24.420000, 55.900
24.670000, 56.047
24.920000, 56.201
25.170000, 56.361
25.420000, 56.528
25.670000, 56.743
25.920000, 56.989
26.170000, 57.245
26.420000, 57.509
26.670000, 57.782
26.920000, 58.061
27.170000, 58.348
27.420000, 58.640
27.670000, 58.937
27.920000, 59.239
28.170000, 59.545
28.420000, 59.855
28.670000, 60.167
28.920000, 60.481
29.170000, 60.796
29.420000, 61.112
29.670000, 61.429
29.920000, 61.744
30.170000, 62.051
30.420000, 62.350
30.670000, 62.649
30.920000, 62.946
31.170000, 63.241
31.420000, 63.534
31.670000, 63.825
31.920000, 64.113
32.170000, 64.398
32.420000, 64.680
32.670000, 64.959
32.920000, 65.234
33.170000, 65.505
33.420000, 65.772
33.670000, 66.035
33.920000, 66.293
34.170000, 66.546
34.420000, 66.794
34.670000, 67.037
34.920000, 67.274
35.170000, 67.505
35.420000, 67.730
35.670000, 67.949
35.920000, 68.129
36.170000, 68.265
36.420000, 68.389
36.670000, 68.503
36.920000, 68.608
37.170000, 68.705
37.420000, 68.793
37.670000, 68.875
37.920000, 68.951
38.170000, 69.022
38.420000, 69.089
38.670000, 69.153
38.920000, 69.214
39.170000, 69.273
39.420000, 69.332
39.670000, 69.391
39.920000, 69.451
40.170000, 69.531
40.420000, 69.645
40.670000, 69.759
40.920000, 69.873
41.170000, 69.988
41.420000, 70.103
41.670000, 70.218
41.920000, 70.334
42.170000, 70.450
42.420000, 70.565
42.670000, 70.681
42.920000, 70.798
43.170000, 70.914
43.420000, 71.030
43.670000, 71.146
43.920000, 71.262
44.170000, 71.378
44.420000, 71.494
44.670000, 71.610
44.920000, 71.725
45.170000, 71.841
45.420000, 71.956
45.670000, 72.070
45.920000, 72.185
46.170000, 72.299
46.420000, 72.413
46.670000, 72.526
46.920000, 72.639
47.170000, 72.752
47.420000, 72.863
47.670000, 72.975
47.920000, 73.086
48.170000, 73.196
48.420000, 73.305
48.670000, 73.414
48.920000, 73.522
49.170000, 73.630
49.420000, 73.736
49.670000, 73.842
49.920000, 73.947
50.170000, 74.051
50.420000, 74.150
50.670000, 74.246
50.920000, 74.341
51.170000, 74.435
51.420000, 74.528
51.670000, 74.621
51.920000, 74.712
52.170000, 74.802
52.420000, 74.890
